id,category,region,operator,url,enabled,direct,direct_title,business_program
warp_uslugi,BUR,wielkopolskie,WARP,https://warp.org.pl/dotacje/przedsiebiorca/uslugi-rozwojowe-dla-twojego-biznesu/wazne-informacje-ub/,true,true,WARP – Usługi rozwojowe dla Twojego biznesu
arr_konin_bur,BUR,wielkopolskie,ARR Konin,https://arrkonin.org.pl/oferta/uslugi-rozwojowe/,true,true,ARR Konin – Usługi rozwojowe dla przedsiębiorców
kip_kalisz_bur,BUR,wielkopolskie,Kaliski Inkubator Przedsiębiorczości,https://inkubator.kalisz.pl/finansujemy/dofinansowania-do-szkolen/subregion-kaliski-inwestuje-w-kadry-nowa-edycja-2024/,true,true,Subregion kaliski inwestuje w kadry
fripww_pila_bur,BUR,wielkopolskie,Fundusz Rozwoju i Promocji Województwa Wielkopolskiego,https://rozwijamy.eu/strona-glowna/,true,true,Rekrutacja – Usługi rozwojowe w subregionie pilskim
inse_goz,FERS,Polska,Instytut Nauk Społeczno-Ekonomicznych,https://goz.inse.pl/aktualnosci/,true,true,GOZ – Nowe Perspektywy dla Biznesu – nabór ciągły
adn_eaa,FERS,Polska,Instytut ADN,https://dyrektywaeaa.adninstytut.pl/,true
sense_eaa,FERS,Polska,Sense Consulting,https://dyrektywaeaa.pl/rekrutacja/,true,true,I-D-EAA Academy – rekrutacja
certes_eaa,FERS,Polska,CERTES,https://dyrektywaeaa.certes.pl/rekrutacja/,true,true,Dyrektywa EAA – nowe możliwości dla biznesu – rekrutacja
wup_poznan,regionalne,wielkopolskie,WUP Poznań,https://wuppoznan.praca.gov.pl/strona-glowna,true
fe_wielkopolska,regionalne,wielkopolskie,Fundusze Europejskie dla Wielkopolski,https://wrpo.wielkopolskie.pl/nabory,true
poznan,KFS,wielkopolskie,PUP Poznań,https://poznan.praca.gov.pl/strona-glowna,true
chodziez,KFS,wielkopolskie,PUP Chodzież,https://chodziez.praca.gov.pl/strona-glowna,true
czarnkow,KFS,wielkopolskie,PUP Czarnków,https://czarnkow.praca.gov.pl/strona-glowna,true
gniezno,KFS,wielkopolskie,PUP Gniezno,https://gniezno.praca.gov.pl/strona-glowna,true
gostyn,KFS,wielkopolskie,PUP Gostyń,https://gostyn.praca.gov.pl/strona-glowna,true
grodzisk,KFS,wielkopolskie,PUP Grodzisk Wielkopolski,https://grodziskwielkopolski.praca.gov.pl/strona-glowna,true
jarocin,KFS,wielkopolskie,PUP Jarocin,https://jarocin.praca.gov.pl/strona-glowna,true
kalisz,KFS,wielkopolskie,PUP Kalisz,https://kalisz.praca.gov.pl/strona-glowna,true
kepno,KFS,wielkopolskie,PUP Kępno,https://kepno.praca.gov.pl/strona-glowna,true
kolo,KFS,wielkopolskie,PUP Koło,https://kolo.praca.gov.pl/strona-glowna,true
konin,KFS,wielkopolskie,PUP Konin,https://konin.praca.gov.pl/strona-glowna,true
koscian,KFS,wielkopolskie,PUP Kościan,https://koscian.praca.gov.pl/strona-glowna,true
krotoszyn,KFS,wielkopolskie,PUP Krotoszyn,https://krotoszyn.praca.gov.pl/strona-glowna,true
leszno,KFS,wielkopolskie,PUP Leszno,https://leszno.praca.gov.pl/strona-glowna,true
miedzychod,KFS,wielkopolskie,PUP Międzychód,https://miedzychod.praca.gov.pl/strona-glowna,true
nowytomysl,KFS,wielkopolskie,PUP Nowy Tomyśl,https://nowytomysl.praca.gov.pl/strona-glowna,true
oborniki,KFS,wielkopolskie,PUP Oborniki,https://oborniki.praca.gov.pl/strona-glowna,true
ostrow,KFS,wielkopolskie,PUP Ostrów Wielkopolski,https://ostrowwielkopolski.praca.gov.pl/strona-glowna,true
ostrzeszow,KFS,wielkopolskie,PUP Ostrzeszów,https://ostrzeszow.praca.gov.pl/strona-glowna,true
pila,KFS,wielkopolskie,PUP Piła,https://pila.praca.gov.pl/strona-glowna,true
pleszew,KFS,wielkopolskie,PUP Pleszew,https://pleszew.praca.gov.pl/strona-glowna,true
rawicz,KFS,wielkopolskie,PUP Rawicz,https://rawicz.praca.gov.pl/strona-glowna,true
slupca,KFS,wielkopolskie,PUP Słupca,https://slupca.praca.gov.pl/strona-glowna,true
szamotuly,KFS,wielkopolskie,PUP Szamotuły,https://szamotuly.praca.gov.pl/strona-glowna,true
